Zomi,English,Myanmar
"Tua nate a zang mite a cidam thei kei uh uh hi. Damdam in kiam semsem uh a, genthei pi-in a si uh hi. Tua bang mite a enhuai kei hi. Hih nate na zang kei in.",People who use those things cannot be healthy. They gradually deteriorate and die in misery. Such people are not pleasant to look at. Do not use these things.,အဲဒီအရာတွေကို သုံးစွဲသူတွေဟာ ကျန်းမာရေး မကောင်းနိုင်ဘူး။ သူတို့ဟာ တဖြည်းဖြည်း ယိုယွင်းလာပြီး ဒုက္ခရောက်စွာ သေဆုံးရတယ်။ အဲဒီလိုလူတွေဟာ ကြည့်လို့ မကောင်းဘူး။ ဒီအရာတွေကို မသုံးစွဲပါနဲ့။
SINNA 26 - KA NU THU,Lesson 26 - The Story of My Mother,သင်ခန်းစာ ၂၆ - ကျွန်တော့်အမေအကြောင်း
"Ka nu ka it mahmah hi. Ka suah ma-in ka nu in a gil sungah hong paii hi. Ka suah khit ciangin hong sil a, puanlumin hong tun hi. A angah hong tawi a, nawi hong tepsak hi. Ahi hangin neu lua lai ka hi manin bangmah ka thei nai kei hi.","I love my mother very much. Before I was born, my mother carried me in her womb. After I was born, she bathed me and wrapped me in warm clothes. She held me in her arms and breastfed me. However, because I was too young, I didn't know anything yet.",ကျွန်တော့်အမေကို ကျွန်တော် အရမ်းချစ်တယ်။ ကျွန်တော် မမွေးခင်ကတည်းက အမေက သူ့ဗိုက်ထဲမှာ ကျွန်တော့်ကို လွယ်ထားခဲ့တယ်။ ကျွန်တော် မွေးလာတဲ့အခါ အမေက ကျွန်တော့်ကို ရေချိုးပေးပြီး နွေးထွေးတဲ့ အဝတ်တွေနဲ့ ပတ်ထားပေးတယ်။ အမေက ကျွန်တော့်ကို ရင်ခွင်ထဲမှာ ပွေ့ချီပြီး နို့တိုက်ခဲ့တယ်။ ဒါပေမယ့် ကျွန်တော် အရမ်းငယ်သေးလို့ ဘာမှ မသိသေးဘူး။
"Ka golzawk ciangin ka nu in hong pua hi. Kei nuamtakin ka ihmu hithiat hi. Khat veivei luai sungah hong sial a, lasa in hong awi zel hi.","When I got bigger, my mother carried me on her back. I slept peacefully and quietly. Sometimes she put me in a cradle and sang lullabies to me.",ကျွန်တော် နည်းနည်း ကြီးလာတဲ့အခါ အမေက ကျောပိုးခဲ့တယ်။ ကျွန်တော်ကတော့ အေးချမ်းစွာ အိပ်ပျော်နေခဲ့တယ်။ တစ်ခါတလေ ပုခက်ထဲမှာ ထည့်ပြီး သီချင်းဆို သိပ်ခဲ့တယ်။
"Lam ka pai ciangin ka nu in a khutin hong len a, ka lau kei hi. Lui kan ding a om leh hong kanpih hi. Sang ka kah ciangin ka nu in hong kha hi. Innah ka ciah ciangin kongah hong dawn hi. Innah lai ka sim ciangin ka theihloh a om leh ka nu ka dong hi. Ka nu in lai hong hilh ciangin nuam ka sa diak hi.","When I walked, my mother held my hand, and I was not afraid. If there was a river to cross, she helped me cross it. When I went to school, my mother dropped me off. When I came home, she welcomed me at the door. When I studied at home, if there was something I didn't know, I asked my mother. When my mother taught me, I felt especially happy.",လမ်းလျှောက်တဲ့အခါ အမေက လက်ဆွဲပေးလို့ ကျွန်တော် မကြောက်ခဲ့ဘူး။ မြစ်ကူးစရာရှိရင် အမေက ကူးပေးတယ်။ ကျောင်းသွားတဲ့အခါ အမေက လိုက်ပို့တယ်။ အိမ်ပြန်လာတဲ့အခါ တံခါးဝကနေ ကြိုဆိုတယ်။ အိမ်မှာ စာလုပ်လို့ မသိတာရှိရင် အမေ့ကို မေးတယ်။ အမေက စာသင်ပေးတဲ့အခါ ကျွန်တော် ပိုပြီး ပျော်တယ်။
"Ka nu lo a kuan hi. Sang khak ciangin kei zong ka kuan a, lo ka khawhpih hi. Lo ah tang le vaimim ka ciing uh hi. Innah ka ciah uh ciangin ka nu in ansing a pua hi.","My mother goes to the farm. When school is closed, I also go and help farm the field. We plant paddy and corn in the field. When we come home, my mother carries firewood.",အမေက တောင်ယာ သွားတယ်။ ကျောင်းပိတ်တဲ့အခါ ကျွန်တော်လည်း လိုက်သွားပြီး တောင်ယာ ကူလုပ်တယ်။ တောင်ယာမှာ စပါးနဲ့ ပြောင်းဖူး စိုက်တယ်။ အိမ်ပြန်လာတဲ့အခါ အမေက ထင်းပိုးလာတယ်။
"Ka nu a teek ciangin na a sem zo nawn kei ding hi. Tua ciangin kei le ka ute, ka naute in amah ka vak ding uh hi. Amahin ka nasep ding teng uh hong gen ding a, ka sem ding uh hi. A tawntungin ka lungdamsak ding uh hi. Ka nu thu kamang tawntung ding hi.","When my mother gets old, she will no longer be able to work. Then, my older siblings, younger siblings, and I will take care of her. She will tell us what work to do, and we will do it. We will make her happy forever. I will always obey my mother.",အမေ အသက်ကြီးလာရင် အလုပ် မလုပ်နိုင်တော့ဘူး။ အဲဒီအခါ ကျွန်တော်နဲ့ အစ်ကို အစ်မ၊ ညီ ညီမတွေက အမေ့ကို ပြုစုစောင့်ရှောက်မယ်။ အမေက လုပ်ရမယ့် အလုပ်တွေကို ပြောပြပြီး ကျွန်တော်တို့က လုပ်မယ်။ အမေ့ကို ထာဝရ စိတ်ချမ်းသာအောင် ထားမယ်။ အမေ့စကားကို အမြဲ နားထောင်မယ်။
TANAU KILAWHNA,Kinship Terms,ဆွေမျိုးတော်စပ်မှု အခေါ်အဝေါ်များ
Pate pa leh nute pa - Pu,Father's father and mother's father - Grandfather,အဖေ့အဖေနှင့် အမေ့အဖေ - အဘိုး
Pate nu leh nute nu - Pi,Father's mother and mother's mother - Grandmother,အဖေ့အမေနှင့် အမေ့အမေ - အဘွား
Ka zite Innkuan - Sungtte,My wife's family - In-laws,ကျွန်တော့် ဇနီး၏ မိသားစု - ယောက္ခမဘက်
Ka tanute pasalte - Makte,My daughters' husbands - Sons-in-law,ကျွန်တော့် သမီးများ၏ ခင်ပွန်းများ - သမက်များ
"Pasal, zi ki-unaute - Nuphal",Husband's and wife's sisters/brothers-in-law - Sister/Brother-in-law,လင်နှင့် မယား၏ မောင်နှမများ - ယောက်ဖ/ခဲအို/မရီး
Ka tapa zi - Mo,My son's wife - Daughter-in-law,ကျွန်တော့် သား၏ ဇနီး - ချွေးမ
Ka pa sangam nu - Ni,My father's sister - Aunt,ကျွန်တော့် အဖေ့ညီမ/အစ်မ - အဒေါ်
Ka ni pasal - Gang,My aunt's husband - Uncle,ကျွန်တော့် အဒေါ်၏ ခင်ပွန်း - ဦးလေး
Ka tate ta - Tu,My children's child - Grandchild,ကျွန်တော့် သားသမီးများ၏ ကလေး - မြေး
"Midang, i pu gualte - Pu",Others of our grandfather's age - Grandfather/Elder,အဘိုးအရွယ် အခြားသူများ - အဘိုး
"Midang, i pi gualte - Pi",Others of our grandmother's age - Grandmother/Elder,အဘွားအရွယ် အခြားသူများ - အဘွား
"Midang, i pa gualte - Pa",Others of our father's age - Uncle/Elder,အဖေအရွယ် အခြားသူများ - ဦးလေး
"Midang, i nu gualte - Nu",Others of our mother's age - Aunt/Elder,အမေအရွယ် အခြားသူများ - အဒေါ်
"Midang, i u gualte - U",Others of our older sibling's age - Older brother/sister,အစ်ကို/အစ်မ အရွယ် အခြားသူများ - အစ်ကို/အစ်မ
"Midang, i khangualte - Lawm",Others of our own age - Friend,ကိုယ့်အရွယ် အခြားသူများ - သူငယ်ချင်း
"Midang, uliante - Pu",Other high-ranking/elder people - Sir/Elder,ရာထူးကြီးသူများ/လူကြီးများ - ဆရာ/အကြီးအကဲ
KHAT LAWHNA,Counting / Units,ရေတွက်ခြင်း (ပစ္စည်းပြသင်္ချာ)
Aisa li = Kopkhat,Four crabs = One tie/bunch,ဂဏန်း လေးကောင် = တစ်တွဲ
Bi tel thum = Phuk khat,Three bunches of thatch = One bundle,သက်ငယ် သုံးစည်း = တစ်ထုံး
Bawngleng kai nih = Kap khat,Two cows pulling a cart = One yoke,လှည်းဆွဲနွား နှစ်ကောင် = တစ်ရှဉ်း
Dak thum = Bu khat,Three gongs = One set,မောင်း သုံးလုံး = တစ်စုံ
Innsun nih = Tuah khat,Two threads/strands = One pair/set,ချည်ကြိုး နှစ်ချောင်း = တစ်စုံ
Kam = Mal khat,Word = One letter/word,စကား = တစ်လုံး
Khedap nih = Bu khat,Two shoes = One pair,ဖိနပ် နှစ်ဖက် = တစ်ရံ
La = Dawng khat,Song = One song/piece,သီချင်း = တစ်ပုဒ်
Lo = Cing khat,Field = One plot,တောင်ယာ = တစ်ကွက်
Mawza nih = Bu khat,Two socks = One pair,ခြေအိတ် နှစ်ဖက် = တစ်ရံ
Pathual khat = Tot khat,One string of beads = One strand,ပုတီး တစ်ကုံး = တစ်ကုံး
Suangthu thum = Thuk khat,Three hearth stones = One stove set,မီးဖိုခုံ သုံးခု = မီးဖို တစ်ခု
Sing at mi nih = Kap khat,Two people sawing wood = One team/pair,သစ်ခွဲသမား နှစ်ယောက် = တစ်တွဲ
Tangho tun khat = Phel khat,One roll of thread = One roll,ချည်လုံး တစ်လုံး = တစ်လုံး
Thau = Lawng khat,Gun = One gun/barrel,သေနတ် = တစ်လက်
Thu = Vui khat,Case/Story = One case,အမှု/ကိစ္စ = တစ်ခု
Nupa nih = Kop khat,Two spouses (Husband and wife) = One couple,လင်မယား နှစ်ယောက် = တစ်စုံ/တစ်တွဲ
